tests,new_recoveries,active_cases,new_cases
38058,11884,227808,12955
53712,10249,230424,13397
46724,10143,230889,11008
31461,9155,228577,6945
29618,7657,226598,5739
25436,6461,224527,4432
48466,9338,222472,7624
61758,8852,227218,14151
46757,7872,231214,12054
50177,8983,230689,8790
58371,9139,231660,10548
43731,9580,231313,9410
26151,7142,228718,4622
50150,7666,226295,5569
73911,8997,225870,9053
79405,8700,226225,9436
73121,8827,224807,7795
69348,8437,223413,7412
55247,8239,221087,6055
25174,6393,217913,3271
48408,9315,213142,4835
48317,10325,209293,6919
47141,8373,207653,7152
45108,2720,216667,6640
44490,9770,212873,6322
30965,7664,209782,4683
19945,7290,204873,2419
42669,5839,203374,4604
47406,2692,207082,6789
47689,4625,209224,7156
45020,6460,208572,6144
44905,7222,206911,5864
32276,5893,205626,4706
21611,6169,201918,2503
42046,4760,201231,4326
47208,2302,205310,6802
43943,4465,206897,6496
41533,6524,206058,6053
44333,6884,204856,5965
31353,5590,203901,4728
21067,5695,200592,2431
43493,4618,199776,4029
52056,2161,204185,6930
51690,4466,206271,7008
48897,6026,206377,6379
49712,6340,206339,6586
34566,5564,206011,5334
22556,5639,202890,2543
46241,4773,203099,5178
54781,2155,209359,8694
54077,4068,214091,9073
49449,6550,216077,8777
50505,7110,217223,8510
37407,6088,218079,7038
24924,5959,215993,3890
41975,5143,216913,6310
61847,2465,226222,12146
57453,5361,232717,12142
53369,8210,235787,11539
56971,8909,238675,12100
43898,8368,240292,10099
26770,8032,237022,4786
50212,7171,237572,7937
62680,3447,249514,15698
62892,7140,257335,15250
59118,10945,261956,15829
62428,12044,264524,14857
49997,10960,267012,13574
31747,11515,261635,6170
54010,9270,262037,9954
68383,4552,274347,17260
73332,8635,286382,21045
65966,13944,290862,18775
73120,15667,295901,21049
59910,14076,298974,17259
42372,14228,295614,10896
63915,12709,296929,14396
84862,6001,315527,25052
86240,10667,331782,27278
86153,16440,340921,25998
87609,19778,347199,26405
62899,16777,352131,21849
49135,19181,347463,14578
72429,17867,345941,16741
95854,13971,361373,29978
102579,15010,379994,34151
107713,24367,390327,35143
101079,27845,393791,31757
86516,23854,399059,29253
54792,25509,390467,16965
80088,23768,387108,20870
102818,13726,405603,32874
109430,20254,419979,35251
101437,29070,420958,30546
94331,34745,413715,28073
72281,32439,404019,22947
39393,30875,382982,9902
44934,27269,363898,8245
90901,18120,360050,14910
111531,21807,365176,27887
107306,31272,361623,28487
105019,35289,350441,24856
91870,28236,343663,21703
58456,26481,329134,12013
81902,21873,319844,13227
99099,10146,330178,21283
91158,8837,341789,21130
83083,16594,342447,17847
85431,29989,327605,15763
65410,25924,313627,12153
47649,23833,296976,7283
70590,19674,285947,9246
80299,11578,287555,13926
71738,14557,285066,12762
62513,20670,274715,10858
70872,21202,262505,9505
51139,16753,252778,7219
33801,15643,240564,3451
64810,11981,233832,5709
71722,6938,235153,8895
65831,9806,233233,8427
61274,13030,226570,6796
63400,14048,218568,6469
43353,10110,212926,4612
31030,8876,206538,2525
31160,7087,201719,2296
56250,3753,201513,3896
66627,6067,201367,6431
65711,8308,198653,6047
63455,8020,194977,4765
52161,6422,192260,3852
36962,6533,187737,2032
62647,4211,186305,3098
66234,2274,187943,4255
57175,2232,189099,3730
60647,4526,187572,3288
57062,6358,183812,2896
48958,5339,180585,2167
33095,4729,176954,1109
59703,3513,174930,1734
58528,1716,175229,2344
55395,3088,173977,2086
57254,4011,171454,1679
58145,3655,169124,1516
42231,3038,167115,1075
33321,2955,164702,559
61444,1947,163604,1000
57940,955,163707,1267
63914,1903,162899,1230
55668,2227,161501,946
61924,1964,160187,775
44979,1547,159163,579
32369,1467,158022,333
59733,983,157516,588
57059,467,157585,664
55146,988,157078,572
33285,1186,156185,319
49998,960,155602,415
44710,877,155024,312
32135,727,154483,194
64590,463,154325,400
58099,307,154338,428
53235,448,154188,382
54667,593,153868,341
55994,519,153541,239
48409,297,153460,227
33251,355,153244,140
58596,221,153186,215
54611,104,153261,241
51409,351,153082,218
47975,344,152880,190
51920,315,152692,168
38174,282,152538,133
27606,172,152438,73
64943,125,152472,188
59936,66,152536,165
48113,206,152453,147
42518,164,152386,133
43297,151,152314,100
30658,162,152218,71
21443,159,152111,52
53830,78,152130,123
50088,28,152190,104
39535,0,152265,98
42386,217,152123,96
46691,68,152144,107
34310,93,152104,54
23279,63,152078,38
49463,37,152127,96
42891,28,152185,103
39928,79,152180,93
40731,37,152202,76
45531,49,152232,86
34156,47,152250,66
25671,72,152222,44
46939,27,152278,96
41643,23,152381,86
41557,74,152400,105
36801,98,152381,93
45685,198,152290,114
32192,33,152323,69
23581,50,152340,67
47607,40,152480,104
42208,31,152570,124
37494,63,152624,126
37197,84,152644,108
41826,49,152711,122
32296,58,152734,82
23529,80,152728,74
42491,48,152779,106
39143,39,152875,138
37501,83,152954,167
37028,79,153026,153
42822,92,153085,153
33372,107,153069,91
24769,93,153067,91
45993,34,153193,164
41833,47,153306,164
39810,116,153360,176
39327,127,153399,172
45508,135,153441,181
36723,124,153439,122
24973,141,153362,64
46671,53,153509,200
41444,74,153629,198
39662,123,153727,223
39373,140,153777,196
46087,169,153817,211
36352,130,153835,148
25512,128,153835,128
48678,102,153947,221
42300,45,154109,208
38238,193,154109,197
38847,110,154207,212
44492,127,154301,222
33497,125,154361,185
22427,174,154294,107
45477,38,154481,233
40353,13,154723,234
37768,165,154806,251
37849,128,154933,258
42825,73,155145,290
31891,147,155202,204
22077,199,155154,151
44696,30,155404,285
40879,2,155759,366
39273,95,156047,390
36549,97,156294,349
41135,56,156620,389
30119,197,156747,324
21322,218,156712,183
44329,43,157148,406
39903,16,157686,533
37704,90,158100,510
39011,205,158415,528
42428,120,158817,530
30754,273,159020,476
22440,311,158978,269
45514,72,159579,537
42883,101,160426,767
40873,124,161014,722
35959,176,161482,652
42954,208,162057,797
30978,463,162133,540
22331,429,162067,363
45337,40,162723,711
42300,112,163697,882
41707,196,164461,974
39962,402,164858,813
42352,338,165417,917
29019,573,165486,643
21347,659,165248,421
46861,107,166087,975
45858,17,167282,1234
39449,352,168111,1208
42843,603,168854,1362
42312,620,169555,1344
30175,649,169990,1090
21583,747,169927,684
44692,136,171070,1325
43668,12,173110,2085
41142,578,174510,2007
38494,760,175614,1895
39397,842,176755,2012
25846,1090,177187,1527
21213,1167,176923,903
42848,492,178500,2118
44897,214,180886,2640
44889,805,183021,3000
39863,1457,184286,2771
43645,1437,186041,3236
28697,1728,186835,2523
22364,1716,186653,1537
49403,759,189761,3931
51086,127,195118,5559
49649,1401,199263,5592
49537,1767,203143,5706
51957,2054,207288,6274
33781,2484,209519,4728
25515,2770,209699,2950
56611,1219,214652,6265
58862,464,222416,8361
58849,2791,227902,8378
59181,4171,233016,9387
59956,4496,238203,9798
37777,4928,240411,7145
29091,6034,239258,4894
27951,4050,239713,4514
68383,1400,248618,10429
78757,4532,259351,15515
78683,6503,268600,15904
77986,6805,276799,15190
54721,8023,281245,12493
37270,9010,279548,7316
76080,5133,287839,13644
84377,2736,303384,18550
85369,3157,319027,19074
49375,9828,322133,12965
68903,13824,322335,14292
54865,14613,322118,14442
40933,14590,317028,9512
82760,9821,323515,16590
96830,4876,342415,24239
99507,11367,355560,24882
93729,15702,362697,23242
95486,17070,368659,23414
67381,11805,375696,18883
48557,13953,374069,12334
91012,11520,382087,19936
107192,6258,403749,28380
110915,14449,416931,28128
105682,21451,421794,26735
105167,22630,424968,26182
71569,22204,423289,20576
51167,22459,413927,13115
92732,15580,416895,19074
114112,10177,435212,29064
109011,17690,444376,27356
107963,25041,445830,26965
105963,25616,445288,25576
78533,25390,442242,22389
52286,25489,429978,13250
95015,16922,431918,19366
115051,10055,449813,28542
111604,16827,459882,27458
107666,25459,458843,24991
104369,26546,455575,23764
74661,25554,449408,19452
50202,25126,435632,11379
93798,19070,433485,17460
109502,10909,446173,24266
103928,17306,450372,22097
101839,24693,445140,20027
102299,26092,437902,19397
72684,23670,430138,15976
55001,22887,416831,9609
93279,16527,413572,13806
101743,8955,421863,18021
97860,16218,422185,17156
89629,22246,414735,15392
57371,21012,404242,10788
38390,19606,390872,6252
42126,18862,377001,5029
88433,13618,372677,9843
101582,6788,380666,15571
95608,11588,382694,14325
92923,15829,379828,13601
78964,15573,375782,12032
50768,14752,368176,7179
55752,9622,364967,6422
104130,3168,373036,11670
112988,2125,387475,17196
105419,8212,395193,16576
64683,13952,393026,11902
81278,12542,391092,10900
71137,12510,389666,11106
54783,11763,385669,7785
92449,3459,393123,11406
99425,3786,404826,16173
96833,9876,411347,16878
93019,14154,412817,16047
103703,14400,414884,16896
72940,10364,419152,14667
56006,9674,419919,10445
100536,6088,433106,19652
122348,1950,461367,30586
125083,5629,488258,32835
135321,9691,514985,36665
150984,11404,544264,40876
111241,12992,565335,34088
97455,14103,580330,29100
141880,5006,612067,36995
173487,1741,663470,53420
179498,12269,708607,57659
178308,24852,740746,57262
176130,30243,762007,51695
143752,36950,773285,48251
106663,40461,766271,33480
144318,29602,775544,39114
179820,22127,809150,56051
175104,33854,829466,54477
164121,53712,823042,47534
162817,59421,809098,45749
117174,61293,782489,34703
82819,56889,749994,24404
138531,43571,742097,35960
155601,32881,755778,46872
143520,44623,752988,42095
132332,56326,732149,35777
122924,55030,708117,31331
84749,49001,681155,22070
63895,48114,646497,13473
108446,33237,635149,22267
116307,22163,641473,28859
124598,30587,639799,29229
107006,40977,622508,23990
102077,37372,605755,20902
65689,32419,586998,13687
51975,34181,562390,9589
103170,44530,536322,18792
99674,34541,521877,20456
92480,33455,506363,18282
85743,17336,505553,16724
78097,10865,508417,13960
49801,7572,509707,8902
42701,18060,498210,6564
85962,16138,494787,12984
84281,13819,495428,14737
81091,12389,496841,14068
74313,10502,498616,12483
74365,5901,505253,12737
46844,4715,508225,7697
40897,12049,501755,5585
85341,9990,504700,13152
82039,9826,509055,14415
80543,8460,513849,13438
